timestamp	bpm
06:49:36	151
06:49:46	152
06:49:51	153
06:50:06	153
06:50:16	155
06:50:21	156
06:50:26	157
06:50:36	158
06:50:51	159
06:50:56	158
06:51:11	159
06:51:26	158
06:51:31	161
06:51:36	162
06:51:51	162
06:51:56	161
06:52:11	161
06:52:16	160
06:52:26	159
06:52:31	154
06:52:36	148
06:52:41	145
06:52:46	141
06:52:51	140
06:52:56	144
06:53:01	148
06:53:06	146
06:53:11	140
06:53:16	134
06:53:21	132
06:53:26	127
06:53:31	121
06:53:36	123
06:53:41	117
06:53:46	108
06:53:51	106
06:53:56	103
06:54:01	95
06:54:06	89
06:54:11	86
06:54:16	84
06:54:21	85
06:54:26	85
06:54:31	89
06:54:36	93
06:54:41	98
06:54:46	103
06:54:51	101
06:54:56	102
06:55:01	106
06:55:06	105
06:55:11	110
06:55:16	117
06:55:21	118
06:55:26	123
06:55:31	127
06:55:36	128
06:55:41	124
06:55:46	119
06:55:51	112
06:55:56	107
06:56:01	103
06:56:06	102
06:56:11	100
06:56:16	98
06:56:21	94
06:56:26	89
06:56:31	90
06:56:36	95
06:56:41	98
06:56:46	100
06:57:01	102
06:57:06	100
06:57:11	93
06:57:16	87
06:57:21	81
06:57:26	78
06:57:31	77
06:57:36	79
06:57:41	82
06:57:46	84
06:57:56	85
06:58:01	87
06:58:06	88
06:58:11	86
06:58:16	84
06:58:21	86
06:58:26	86
06:58:31	87
06:58:36	88
06:58:41	90
06:58:46	89
06:58:56	87
06:59:01	86
06:59:06	87
06:59:11	89
06:59:16	92
06:59:21	94
06:59:26	95
06:59:41	95
06:59:46	96
06:59:51	95
06:59:56	90
07:00:01	87
07:00:11	87
07:00:16	85
07:00:21	82
07:00:26	80
07:00:31	77
07:00:36	79
07:00:41	80
07:00:46	81
07:00:51	85
07:00:56	86
07:01:01	83
07:01:06	81
07:01:16	83
07:01:21	90
07:01:31	85
07:01:36	81
07:01:41	77
07:01:46	75
07:01:51	76
07:01:56	79
07:02:01	82
07:02:11	78
07:02:16	76
07:02:21	75
07:02:26	76
07:02:31	75
07:02:36	78
07:02:41	81
07:02:51	79
07:02:56	75
07:03:01	74
07:03:06	75
07:03:16	76
07:03:21	75
07:03:26	76
07:03:31	78
07:03:36	82
07:03:41	85
07:03:46	89
07:03:51	94
07:03:56	99
07:04:01	104
07:04:06	108
07:04:11	106
07:04:16	105
07:04:21	103
07:04:26	99
07:04:31	100
07:04:36	104
07:04:41	106
07:04:46	107
07:04:51	105
07:04:56	100
07:05:01	97
07:05:06	94
07:05:11	90
07:05:21	93
07:05:26	95
07:05:31	93
07:05:36	92
07:05:41	90
07:05:46	93
07:05:51	92
07:05:56	93
07:06:01	97
07:06:06	96
07:06:11	93
07:06:16	95
07:06:21	90
07:06:26	85
07:06:31	82
07:06:36	80
07:06:41	79
07:06:46	78
07:06:51	79
07:06:56	82
07:07:01	83
07:07:06	82
07:07:21	84
07:07:26	82
07:07:31	78
07:07:36	76
07:07:46	74
07:07:51	73
07:07:56	75
07:08:01	76
07:08:06	74
07:08:21	74
07:08:26	77
07:08:31	78
07:08:36	79
07:08:41	78
07:08:46	79
07:08:51	83
07:08:56	86
07:09:01	90
07:09:06	95
07:09:11	100
07:09:16	105
07:09:21	111
07:09:26	117
07:09:31	123
07:09:41	124
07:09:46	130
07:09:51	134
07:10:01	140
07:10:06	147
07:10:11	152
07:10:21	151
07:10:31	153
07:10:36	157
07:10:41	159
07:10:46	161
07:10:51	161
07:11:01	160
07:11:06	161
07:11:11	160
07:11:16	161
07:11:26	162
07:11:31	163
07:11:46	164
07:12:01	163
07:12:06	162
07:12:11	161
07:12:16	162
07:12:31	162
07:12:36	163
07:12:41	164
07:12:56	165
07:13:06	166
07:13:11	165
07:13:16	164
07:13:21	163
07:13:26	164
07:13:41	165
07:13:46	164
07:13:51	165
07:13:56	166
07:14:11	166
07:14:26	166
07:14:31	165
07:14:46	165
07:15:01	165
07:15:06	165
07:15:21	164
07:15:36	164
07:15:41	162
07:15:46	158
07:15:51	153
07:15:56	148
07:16:01	144
07:16:06	135
07:16:11	125
07:16:16	115
07:16:21	104
07:16:26	96
07:16:31	91
07:16:36	86
07:16:41	82
07:16:46	81
07:16:51	83
07:17:01	79
07:17:06	78
07:17:16	77
07:17:21	74
07:17:26	75
07:17:31	78
07:17:36	82
07:17:41	86
07:17:46	91
07:17:51	96
07:17:56	101
07:18:01	107
07:18:06	113
07:18:11	120
07:18:16	128
07:18:21	136
07:18:26	144
07:18:31	149
07:18:36	152
07:18:41	154
07:18:46	156
07:18:51	158
07:19:01	159
07:19:06	161
07:19:11	163
07:19:16	164
07:19:21	165
07:19:36	164
07:19:46	165
07:19:51	165
07:20:01	164
07:20:16	164
07:20:31	165
07:20:36	166
07:20:51	166
07:21:06	166
07:21:16	164
07:21:21	165
07:21:26	163
07:21:31	160
07:21:41	159
07:21:51	158
07:21:56	156
07:22:01	157
07:22:06	159
07:22:11	160
07:22:16	161
07:22:31	162
07:22:46	163
07:23:01	164
07:23:11	165
07:23:21	164
07:23:26	166
07:23:31	168
07:23:36	166
07:23:41	163
07:23:46	161
07:23:51	163
07:23:56	165
07:24:01	166
07:24:06	162
07:24:11	158
07:24:16	157
07:24:21	154
07:24:26	147
07:24:31	139
07:24:36	134
07:24:41	130
07:24:46	126
07:24:51	121
07:24:56	123
07:25:01	115
07:25:11	117
07:25:16	108
07:25:21	98
07:25:26	89
07:25:31	90
07:25:36	94
07:25:41	99
07:25:46	102
07:25:51	107
07:25:56	109
07:26:01	112
07:26:06	117
07:26:11	120
07:26:16	127
07:26:21	134
07:26:26	142
07:26:31	148
07:26:36	154
07:26:41	158
07:26:46	159
07:26:51	160
07:26:56	161
07:27:11	161
07:27:21	160
07:27:36	160
07:27:41	159
07:27:46	158
07:27:51	157
07:28:06	158
07:28:16	159
07:28:21	158
07:28:36	159
07:28:46	158
07:28:51	155
07:28:56	150
07:29:01	146
07:29:06	143
07:29:11	138
07:29:16	143
07:29:21	152
07:29:26	149
07:29:31	143
07:29:36	136
07:29:41	130
07:29:46	123
07:29:51	115
07:29:56	109
07:30:01	101
07:30:06	93
07:30:11	87
07:30:16	81
07:30:21	80
07:30:26	79
07:30:41	81
07:30:56	81
07:31:01	79
07:31:06	78
07:31:16	76
07:31:21	74
07:31:31	76
07:31:36	77
07:31:41	80
07:31:46	81
07:31:56	82
07:32:01	85
07:32:06	90
07:32:11	95
07:32:16	100
07:32:21	105
07:32:26	112
07:32:31	118
07:32:36	125
07:32:41	132
07:32:46	139
07:32:51	145
07:32:56	147
07:33:01	144
07:33:06	140
07:33:11	135
07:33:16	130
07:33:21	124
07:33:26	118
07:33:31	111
07:33:36	104
07:33:41	97
07:33:46	92
07:33:51	88
07:33:56	85
07:34:01	86
07:34:06	89
07:34:11	93
07:34:21	88
07:34:26	83
07:34:31	82
07:34:41	81
07:34:46	80
07:34:51	78
07:34:56	75
07:35:01	74
07:35:06	73
07:35:11	75
07:35:16	77
07:35:21	78
07:35:26	75
07:35:31	74
07:35:41	75
07:35:46	76
07:36:01	74
07:36:11	75
07:36:16	77
07:36:21	80
07:36:26	83
07:36:31	87
07:36:36	91
07:36:41	96
07:36:46	101
07:36:51	106
07:36:56	111
07:37:01	117
07:37:06	123
07:37:11	129
07:37:16	136
07:37:21	143
07:37:26	149
07:37:31	154
07:37:36	156
07:37:41	157
07:37:51	158
07:37:56	160
07:38:11	160
07:38:26	160
07:38:41	160
07:38:51	157
07:38:56	158
07:39:01	159
07:39:06	158
07:39:11	156
07:39:16	150
07:39:21	146
07:39:31	147
07:39:36	146
07:39:41	138
07:39:46	128
07:39:51	121
07:39:56	113
07:40:01	103
07:40:06	97
07:40:11	96
07:40:16	97
07:40:21	96
07:40:26	93
07:40:31	89
07:40:36	86
07:40:41	85
07:40:46	84
07:40:51	81
07:40:56	79
07:41:11	80
07:41:16	79
07:41:21	78
07:41:26	77
07:41:31	78
07:41:36	81
07:41:41	82
07:41:46	81
07:41:51	82
07:41:56	85
07:42:01	88
07:42:06	93
07:42:11	98
07:42:16	104
07:42:21	110
07:42:26	116
07:42:31	123
07:42:36	129
07:42:41	136
07:42:46	143
07:42:51	149
07:42:56	155
07:43:01	158
07:43:06	160
07:43:11	161
07:43:16	161
07:43:31	161
07:43:46	160
07:43:56	161
07:44:01	160
07:44:16	159
07:44:31	160
07:44:41	159
07:44:51	158
07:45:06	159
07:45:11	161
07:45:16	158
07:45:21	151
07:45:26	141
07:45:31	130
07:45:36	118
07:45:41	108
07:45:46	101
07:45:51	97
07:45:56	96
07:46:01	93
07:46:06	90
07:46:11	87
07:46:16	85
07:46:21	82
07:46:26	81
07:46:41	82
07:46:46	83
07:46:51	84
07:46:56	86
07:47:01	87
07:47:06	86
07:47:11	87
07:47:16	88
07:47:21	85
07:47:26	82
07:47:31	85
07:47:36	89
07:47:41	94
07:47:46	99
07:47:51	103
07:47:56	97
07:48:01	93
07:48:06	90
07:48:11	88
07:48:16	91
07:48:21	95
07:48:26	100
07:48:31	104
07:48:36	110
07:48:41	115
07:48:46	121
07:48:51	128
07:48:56	135
07:49:01	141
07:49:06	142
07:49:11	138
07:49:16	137
07:49:21	142
07:49:26	144
07:49:31	149
07:49:36	151
07:49:41	151
07:49:46	154
07:49:51	158
07:49:56	160
07:50:01	161
07:50:06	161
07:50:11	162
07:50:26	160
07:50:36	159
07:50:51	159
07:51:01	158
07:51:16	157
07:51:31	157
07:51:36	156
07:51:51	156
07:51:56	155
07:52:01	154
07:52:06	149
07:52:11	151
07:52:16	153
07:52:21	154
07:52:26	152
07:52:31	145
07:52:36	141
07:52:41	135
07:52:46	124
07:52:51	113
07:52:56	103
07:53:01	97
07:53:06	92
07:53:16	91
07:53:21	89
07:53:26	88
07:53:36	86
07:53:46	84
07:53:56	83
07:54:01	84
07:54:06	86
07:54:11	89
07:54:16	88
07:54:21	87
07:54:36	87
07:54:46	87
07:55:01	88
07:55:06	89
07:55:16	90
07:55:26	91
07:55:31	91
07:55:41	92
07:55:51	92
07:55:56	91
07:56:01	90
07:56:06	91
07:56:11	92
